repeated_states,sum_reward,attempt,victory,total steps,actions
116,-11.999999999999973,0,True,119,"[0, 1, 5, 1, 4, 2, 4, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 6, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 2, 8, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 6, 0, 3, 3, 6, 0, 6, 0, 6, 0, 4, 4, 6, 5, 4, 5, 4, 2, 4, 2, 4]"
90,-11.999999999999973,1,True,119,"[6, 3, 3, 7, 3, 0, 6, 0, 4, 5, 0, 4, 8, 3, 5, 7, 7, 8, 4, 8, 5, 0, 5, 2, 4, 3, 5, 0, 5, 0, 5, 2, 4, 8, 5, 0, 5, 3, 5, 0, 5, 0, 5, 8, 8, 5, 0, 5, 3, 5, 0, 3, 7, 4, 4, 4, 3, 5, 0, 5, 4, 8, 5, 0, 5, 0, 5, 0, 5, 3, 5, 0, 5, 4, 8, 5, 0, 5, 0, 4, 3, 5, 4, 8, 5, 4, 5, 4, 3, 5, 0, 5, 4, 8, 5, 0, 5, 0, 5, 0, 4, 3, 0, 4, 4, 3, 5, 4, 4, 3, 5, 4, 8, 5, 1, 5, 4, 5, 4, 7]"
3,-11.999999999999973,2,True,119,"[3, 3, 3, 5, 3, 4, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7]"
18,-11.999999999999975,3,True,119,"[1, 1, 3, 3, 3, 3, 3, 3, 6, 0, 2, 0, 2, 6, 5, 1, 4, 4, 5, 4, 4, 6, 4, 4, 1, 5, 1, 4, 1, 4, 1, 4, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8]"
12,-11.999999999999975,4,True,119,"[6, 7, 2, 2, 2, 2, 2, 2, 2, 4, 4, 2, 2, 4, 1, 2, 1, 5, 1, 0, 1, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8, 3, 8]"
1,-11.999999999999973,5,True,119,"[5, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4]"
71,-11.999999999999973,6,True,119,"[4, 4, 4, 5, 5, 5, 5, 4, 4, 4, 4, 4, 0, 4, 0, 4, 0, 6, 4, 0, 6, 6, 6, 6, 6, 0, 6, 0, 6, 0, 4, 8, 1, 3, 0, 6, 0, 3, 1, 3, 0, 6, 0, 5, 3, 0, 6, 4, 7, 1, 3, 0, 6, 0, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5, 3, 0, 6, 4, 5]"
13,-11.999999999999973,7,True,119,"[0, 2, 7, 7, 8, 8, 8, 2, 2, 2, 8, 2, 1, 8, 4, 7, 7, 1, 4, 1, 1, 0, 6, 4, 0, 6, 4, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7, 8, 7]"
65,-11.999999999999973,8,True,119,"[8, 8, 8, 8, 1, 8, 1, 8, 1, 2, 7, 1, 1, 7, 7, 7, 7, 2, 7, 6, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 4, 2, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1, 6, 1]"
1,-11.999999999999973,9,True,119,"[5, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4, 7, 4]"
